Plate,Group,Treatment,Day,Location,Well ID,Sample ID,Standard,sCD40L,hEGF,hEotaxin,hFGF-2,hFLT-3L,hFractalkine,hG-CSF,hGM-CSF,hGROa,hIFNa2,hIFNy,hIL-1a,hIL-1b,hIL-1RA,hIL-2,hIL-3,hIL-4,hIL-5,hIL-6,hIL-7,hIL-8,hIL-9,hIL-10,hIL-12(p40),hIL-12(p70),hIL-13,hIL-15,hIL-17A,hIL-17E/IL-25,hIL-17F,hIL-18,hIL-22,hIL-27,hIP-10,hMCP-1,hMCP-3,hM-CSF,hMDC,hMIG/CXCL9,hMIP-1a,hMIP-1b,hPDGF-AA,hPDGF-AB/BB,hRANTES,hTGFa,hTNFa,hTNFb,hVEGF-A
Plate 1,mgh2_dual_05,Dual,5,B4,18,,Standard Curve Group 1,135.6422,14.52834,7.016835,320.0869,2.476723,-,24.49147,73.62516,1.557283,8.688168,5.971254,4.49423,5.729406,-,2.19286,3.06437,1.464383,-,2.301063,1.931286,0.413814,-,6.787329,-,-,-,19.58985,11.6233,197.6218,19.11653,-,56.33367,463.2662,13.44775,26.14973,46.06013,-,0.937935,-,-,-,12.55261,1034.559,1.382851,3.456906,6.688243,9.208571,21.24162
Plate 1,mgh2_dual_05,Dual,5,B5,19,,Standard Curve Group 1,176.0779,22.01228,14.08672,312.0017,3.012955,75.28982,19.45001,193.8046,1.863236,13.7439,5.8184,4.100595,7.339747,3.143657,1.94739,3.701454,2.157108,0.778182,2.181386,7.163246,0.311202,10.98895,6.953027,8.973626,13.44449,-,19.8579,17.18661,329.4823,38.08525,-,58.10837,647.5143,17.67233,31.30544,57.67225,-,1.564332,-,-,-,15.2283,1089.9,1.749146,3.280288,15.10542,15.94031,23.09339
Plate 1,mgh2_dual_10,Dual,10,C3,23,,Standard Curve Group 1,143.1502,20.62112,10.94311,405.91,3.054309,63.4513,32.38352,118.1765,-,11.02039,6.951468,4.451648,7.416815,3.391152,3.287552,8.600308,2.574596,0.560302,2.454744,6.53886,0.604052,-,9.624077,-,16.4703,-,20.75822,16.57382,230.0757,25.00462,2.217417,73.62005,572.3656,15.72188,30.34097,43.48227,-,1.408929,-,-,-,14.03,1101.135,1.510004,4.921525,10.29193,13.46221,22.46474
Plate 1,mgh2_dual_10,Dual,10,C4,24,,Standard Curve Group 1,186.4323,17.14968,10.51442,370.0911,2.957227,53.51218,31.95508,52.73996,1.7718,9.145462,7.098773,6.826046,6.69041,6.34274,3.004848,3.369185,2.056109,-,2.915607,4.418718,0.459052,-,6.598131,9.467698,12.64305,-,21.56688,12.4552,221.3485,24.58132,2.067298,77.01319,541.544,16.91303,28.67128,48.3843,-,1.168513,-,-,-,14.50208,1124.422,1.44406,4.247194,8.700709,17.87349,20.3158
Plate 1,mgh2_dual_10,Dual,10,C5,25,,Standard Curve Group 1,119.7441,19.90559,8.806428,388.8701,3.061364,48.86798,20.97565,93.33694,1.63238,12.70999,6.186519,27.15833,9.552432,6.381312,3.226415,5.038729,2.205431,0.37941,3.036828,4.883768,0.454527,-,5.615248,-,-,-,18.52039,14.6358,202.2758,25.49787,2.639929,74.70251,645.7183,15.80355,31.09,61.86381,-,1.591793,-,-,-,18.60244,1091.221,1.48395,4.014013,8.09967,12.83775,23.64806
Plate 1,mgh2_dual_12,Dual,12,D3,29,,Standard Curve Group 1,214.4573,20.69528,9.821134,369.676,3.03929,-,25.73423,112.7788,2.023584,11.83818,7.217226,8.596074,7.018379,3.642081,2.637458,4.916665,2.315457,-,2.355598,6.520745,0.444575,-,8.126648,9.807908,13.52378,-,19.48544,16.88818,223.7584,24.80971,-,79.81112,515.8914,16.2521,30.60688,47.83075,-,1.469664,-,-,-,14.7073,1041.981,1.568123,4.513759,4.561697,11.23018,26.74734
Plate 1,mgh2_dual_12,Dual,12,D4,30,,Standard Curve Group 1,192.6525,18.23528,11.81923,393.0016,2.396291,60.88372,22.20084,69.84737,1.0505,7.389434,6.56295,13.97409,7.694975,4.963904,3.189618,4.62633,4.730986,-,2.268092,2.122864,0.623197,-,8.315666,9.506745,20.86477,-,21.13331,13.56896,317.8348,-,-,81.29023,471.2615,14.17902,29.15688,52.42748,-,1.299918,-,-,-,10.55052,1230.125,1.616598,4.014221,9.914449,10.13018,27.14494
Plate 1,mgh2_dual_12,Dual,12,D5,31,,Standard Curve Group 1,165.0887,18.41959,8.505008,360.2689,2.616565,-,22.34978,57.19079,1.334787,9.377947,6.26364,3.258974,6.974764,-,2.473386,3.849974,2.508341,0.38468,2.147006,3.109812,0.263237,-,7.689592,-,-,-,19.17917,14.53593,231.5666,20.39515,-,69.45162,511.4302,14.72815,28.90562,47.39966,-,1.089739,-,-,-,16.45316,947.084,1.430496,4.172166,6.918658,14.51069,22.69744
Plate 1,mgh2_dual_15,Dual,15,E3,35,,Standard Curve Group 1,180.1204,20.23461,7.387461,334.6775,2.68873,85.43839,18.3922,91.69245,1.833391,11.5063,5.744409,4.423603,6.178033,3.085474,2.777166,3.316168,2.354088,0.652596,2.165211,7.221596,0.355919,-,8.174792,-,20.01981,19.15519,20.19962,12.86383,218.2787,25.11037,-,61.98332,550.1605,14.99859,29.69876,44.54373,-,1.10032,-,-,-,14.73395,1066.963,0.998654,3.859008,8.677641,13.08337,25.25077
Plate 1,mgh2_dual_15,Dual,15,E4,36,,Standard Curve Group 1,251.267,18.81672,11.74376,329.8766,3.118282,-,28.66443,76.35149,1.776196,11.75978,5.987514,5.539417,7.123289,3.287304,2.407158,2.232581,2.818719,1.436667,2.449548,2.628312,0.356002,-,9.983662,-,-,-,21.31084,11.87843,152.6534,24.43212,-,81.09392,558.5976,14.33631,30.91876,56.66335,-,0.870337,-,-,-,21.5703,978.6457,1.103098,5.70472,6.90184,9.826562,32.43946
Plate 1,mgh2_dual_15,Dual,15,E5,37,,Standard Curve Group 1,141.0806,13.66969,11.46007,340.9657,2.787741,-,16.91501,218.3884,-,12.88391,5.816844,3.957083,5.278051,4.236303,2.111477,2.0902,1.414804,-,1.77459,6.956219,0.444287,-,8.295104,-,12.82634,-,20.1894,6.698739,156.6031,-,-,56.73499,409.2007,11.87315,28.8548,37.81003,-,0.854495,-,-,-,18.01849,916.5427,1.688526,3.709754,7.701884,9.316246,21.52832
Plate 1,mgh2_dual_17,Dual,17,F3,41,,Standard Curve Group 1,225.8523,21.25015,10.87763,365.0581,3.237688,-,35.46579,145.0495,1.815084,14.68007,8.081354,4.07262,8.367004,4.321018,3.469118,9.064343,2.87477,0.724732,2.632253,13.66731,0.439343,-,10.59451,-,19.0229,-,21.90893,14.06707,266.5371,26.6903,2.576836,82.79563,646.7608,19.24579,31.32828,55.50357,-,1.348581,-,-,-,16.58569,1159.61,1.736559,4.473172,8.162945,13.84682,30.14885
Plate 1,mgh2_dual_17,Dual,17,F4,42,,Standard Curve Group 1,-,19.77025,12.54953,348.0346,2.909901,-,22.49067,35.74827,1.760876,9.463381,7.904021,2.852367,5.600445,4.690046,2.265853,3.720017,3.031805,0.396256,1.630972,4.57894,0.27974,10.74386,8.990969,-,13.53662,-,25.0479,10.2567,250.3073,27.9519,-,84.37561,613.45,16.69874,26.46309,44.64534,-,1.394033,-,-,-,16.39001,960.3797,1.545472,3.80634,11.39157,14.47328,23.63276
Plate 1,mgh2_dual_17,Dual,17,F5,43,,Standard Curve Group 1,215.0119,19.60494,9.563616,357.4046,2.753205,-,23.03634,165.6356,1.822937,10.67285,5.846436,4.357688,7.076621,3.955929,2.336355,4.869664,2.474342,-,1.861482,6.964939,0.1738,-,8.530666,-,15.08898,-,20.27575,13.56162,228.9048,19.58951,1.890556,70.85772,507.8024,15.72219,28.40736,45.58702,-,1.197612,-,-,-,15.14765,1002.305,1.644867,4.410375,4.740456,11.42683,30.67112
Plate 1,mgh2_dual_19,Dual,19,G3,47,,Standard Curve Group 1,155.5458,20.61073,10.00295,367.4139,2.462295,56.63231,25.67858,89.60545,1.412817,9.718329,6.383585,5.93236,7.316823,3.335059,2.309021,7.586503,2.48356,0.77529,2.180801,5.317912,0.368111,-,7.908165,-,13.93875,-,20.19253,15.34368,214.4471,21.85253,-,69.02812,470.4967,15.49838,28.95893,49.20344,-,1.167348,-,-,-,16.01571,1030.373,1.279909,3.524692,7.222291,13.72009,21.31791
Plate 1,mgh2_dual_19,Dual,19,G4,48,,Standard Curve Group 1,151.7602,15.27641,7.626335,391.4414,2.609285,-,28.75296,40.64429,1.174722,10.19294,7.501522,6.288162,6.222237,2.96639,2.350755,4.792927,3.541016,0.442101,2.354314,5.915537,0.340639,-,6.024546,8.701265,17.87537,16.75003,18.18566,19.49927,212.6156,-,-,66.99304,576.823,16.77421,30.00422,39.42096,-,0.874937,-,-,-,15.46708,1263.79,1.363376,4.690898,7.887351,13.8153,21.73291
Plate 1,mgh2_dual_19,Dual,19,G5,49,,Standard Curve Group 1,121.5475,17.33115,7.036371,357.3264,2.502231,-,17.88799,208.0685,1.237588,9.274474,6.300275,3.006665,5.158841,3.312419,2.280579,2.935202,2.018722,0.465427,2.019115,10.03253,0.198283,-,5.9013,-,12.86885,-,19.71377,12.60873,167.8368,-,-,65.17692,440.255,13.69293,31.20557,40.55918,-,0.895819,-,-,-,12.20689,1003.489,1.31835,3.39183,6.833142,13.42942,23.94608
Plate 1,mgh2_dual_22,Dual,22,H3,53,,Standard Curve Group 1,-,2.87323,-,224.7784,0.817232,-,-,-,-,3.116438,-,-,-,-,-,-,-,0.523495,-,-,0.111557,-,-,-,-,-,14.59615,0.323161,-,-,-,-,-,-,21.76627,-,-,0.0801,-,-,-,-,-,-,-,3.962879,-,-
Plate 1,mgh2_dual_22,Dual,22,H4,54,,Standard Curve Group 1,-,-,9.158214,227.1981,1.261506,-,-,-,-,2.966941,-,0.972865,-,-,-,-,-,1.13166,-,-,0.218526,-,-,-,-,-,14.46445,0.807554,-,-,-,-,-,-,21.96031,-,-,-,-,-,-,6.585575,-,-,-,1.898966,-,-
Plate 1,mgh2_dual_22,Dual,22,H5,55,,Standard Curve Group 1,-,-,-,225.2199,0.981161,-,-,-,-,3.728613,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.69189,-,-,-,-,-,-,-,23.51731,-,-,-,-,-,-,-,-,-,-,1.63495,-,-
Plate 1,mgh3_msc_03,Dual,3,I4,62,,Standard Curve Group 1,399.5223,26.31192,13.75517,403.4388,3.553956,107.1425,38.58187,140.7491,1.770218,17.54903,18.99356,2.921454,11.85237,8.046729,5.953163,10.94773,2.759899,1.607115,5.273377,14.19565,0.564624,14.96691,12.42552,14.3485,34.40494,17.05089,26.80377,19.3301,456.7304,44.17394,3.914258,131.0337,655.8014,23.70117,32.56526,50.2817,-,2.343936,-,-,-,26.18036,1203.014,2.106752,7.891977,6.210939,22.4936,60.53092
Plate 1,mgh3_msc_03,Dual,3,I5,63,,Standard Curve Group 1,211.9106,19.24626,12.18453,370.1287,2.307018,-,17.00996,167.1322,1.349867,8.988255,6.392263,3.898039,7.933685,3.241362,1.922372,1.892929,1.990444,0.423687,3.130084,4.312977,0.60039,-,8.092679,-,14.19233,-,19.31935,13.17957,256.8584,-,2.011764,66.85811,467.7473,14.33915,26.20235,43.63235,-,0.899602,-,-,-,19.21692,907.7751,1.343739,3.624666,5.697503,10.85378,23.84104
Plate 1,mgh3_msc_03,Dual,3,I6,64,,Standard Curve Group 1,247.0033,23.15398,10.90152,418.2685,4.027759,57.77788,27.64521,126.6692,2.787796,14.83735,14.67826,5.497757,10.01069,6.56918,4.586798,2.656962,4.66386,0.637228,6.648982,6.61394,0.536267,13.21572,13.09136,12.36178,21.19643,24.10651,23.32024,19.42656,365.6178,33.74287,3.10146,145.3408,679.4289,23.15397,38.01867,68.42518,-,1.839992,-,-,-,18.44925,1239.891,2.129706,7.975062,9.997316,16.45494,51.1123
Plate 1,mgh3_msc_06,Dual,6,I10,68,,Standard Curve Group 1,120.4367,13.64539,5.432822,336.9116,2.333331,-,14.14018,14.31027,1.451969,6.123307,4.335281,2.656541,4.428611,-,1.704465,0.543999,1.940001,-,2.163794,0.591195,0.270904,-,4.869772,-,-,-,19.36205,11.51271,167.2561,-,-,46.73937,335.1683,12.06693,27.68714,35.83525,-,0.764355,-,-,-,9.290041,840.1192,1.271158,2.927397,4.698504,8.824171,25.74798
Plate 1,mgh3_msc_06,Dual,6,I11,69,,Standard Curve Group 1,114.1436,13.64763,7.29326,341.2587,1.915277,-,13.7352,54.74566,1.164976,7.904965,4.247374,3.567938,5.919326,2.821987,1.676755,0.529463,1.920623,-,2.795927,1.143423,0.128995,-,6.330189,-,-,-,17.64766,9.582733,168.2938,-,-,47.66476,405.1818,11.59263,29.73855,37.64538,-,0.890864,-,-,-,10.88583,842.9764,1.107009,3.773913,4.493711,8.717094,24.21156
Plate 1,mgh3_msc_06,Dual,6,I12,70,,Standard Curve Group 1,116.1891,15.25073,5.977213,336.3486,2.171805,-,14.95961,31.44227,1.082776,3.287335,4.140027,2.751903,2.382065,-,1.753154,0.339096,1.703161,-,2.30573,0.572357,0.319477,-,-,-,-,-,20.28741,10.85026,168.9231,-,-,47.7933,323.1894,11.32117,26.66986,30.9206,-,0.758386,-,-,-,9.655056,815.324,1.174811,3.166556,3.647302,6.88359,18.93336
Plate 1,mgh3_msc_08,Dual,8,J4,74,,Standard Curve Group 1,-,22.17697,-,374.6412,2.329093,-,34.75574,167.4548,-,14.81044,6.582053,2.950011,3.28299,2.566123,1.856408,2.876375,2.458042,-,2.608307,7.312763,0.21928,-,5.455012,-,-,-,19.50461,14.71735,195.4759,31.31655,-,80.07829,486.4714,17.41477,31.54015,44.02533,-,0.976468,-,-,-,16.10734,971.5495,1.192656,4.784728,7.02052,12.18222,21.52427
Plate 1,mgh3_msc_08,Dual,8,J5,75,,Standard Curve Group 1,165.9115,19.24967,10.26598,368.1927,3.158896,-,26.44198,157.397,1.35535,8.864568,5.854734,3.73528,7.041074,2.810547,2.31183,3.557685,3.290006,0.968115,2.171373,11.16421,0.435375,-,8.058014,-,-,-,20.13525,13.49485,232.4052,26.74316,-,74.12859,496.0499,16.89281,28.61038,54.48871,-,1.014998,-,-,-,14.26456,990.7334,1.276072,4.175898,6.810234,11.45996,26.3266
Plate 1,mgh3_msc_08,Dual,8,J6,76,,Standard Curve Group 1,120.362,20.07713,7.846466,382.8946,2.203031,-,19.77819,179.585,0.991364,11.63069,5.470579,2.906257,6.893061,3.443444,1.722883,5.317932,2.073842,0.403821,1.530363,14.40127,0.339679,-,9.056982,-,-,-,18.8889,10.42207,192.0334,20.79253,-,67.76797,481.2297,13.82638,26.69287,42.83238,-,1.042283,-,-,-,12.4796,847.0538,1.55963,3.886945,5.772279,11.5125,18.45959
Plate 1,mgh3_msc_10,Dual,10,J10,80,,Standard Curve Group 1,138.3352,17.69479,7.553881,345.1478,2.498954,-,19.76792,167.382,0.848786,7.877158,4.338703,2.795706,4.905237,2.784702,1.963953,6.173545,2.46629,-,1.625936,13.20282,-,-,5.0567,-,14.34755,-,18.60715,11.74387,145.2965,21.28319,-,59.96649,330.0718,13.557,27.56733,38.4289,-,1.024077,-,-,-,11.34615,824.3633,1.179351,2.79215,4.327468,9.176454,17.0215
Plate 1,mgh3_msc_10,Dual,10,J11,81,,Standard Curve Group 1,145.756,16.7346,5.211652,315.7109,2.318529,-,18.71192,129.6867,1.039729,8.26981,4.391889,3.372402,5.021273,2.828405,1.699486,3.855651,2.092012,-,1.63842,11.0857,0.216122,-,5.593797,-,-,-,18.82566,11.80759,149.0654,-,-,53.45781,351.9542,12.79912,26.6523,35.28398,-,1.064929,-,-,-,13.82466,787.3959,1.205635,3.354883,4.530468,7.396275,18.97197
Plate 1,mgh3_msc_10,Dual,10,J12,82,,Standard Curve Group 1,-,14.09122,4.216627,317.3325,2.351504,-,15.11047,130.8459,0.996814,9.152379,3.87409,3.219128,4.353208,-,1.677206,1.4582,1.702934,-,1.321569,4.689923,0.153033,-,5.950188,-,-,-,20.13556,10.65863,146.5994,-,-,55.60477,312.3639,10.64053,26.58914,32.00011,-,0.623187,-,-,-,13.89807,830.9909,0.974785,2.863201,3.671288,7.687358,15.40272
Plate 1,mgh3_msc_14,Dual,14,K4,86,,Standard Curve Group 1,-,17.80324,17.73929,359.5868,3.585309,67.53576,58.49516,47.10646,2.235521,9.956804,8.396235,4.627195,5.86387,6.877908,1.777959,8.498928,2.771568,1.16948,1.885413,3.203802,0.521361,-,10.40169,-,13.51435,25.09153,19.55514,13.94652,244.1946,25.23094,-,80.17494,672.2701,16.74198,30.30354,32.78409,-,1.086149,-,-,-,14.38392,1182.711,1.854813,6.139381,-,15.25138,15.6211
Plate 1,mgh3_msc_14,Dual,14,K5,87,,Standard Curve Group 1,146.7688,20.55646,8.872444,370.313,2.356126,-,22.82555,95.65475,1.302754,10.95361,6.367266,4.183256,6.048158,-,2.240991,3.293355,3.082833,-,1.987157,5.383526,0.448951,-,6.886207,-,-,-,18.70047,10.06023,204.5481,23.0679,-,65.51871,525.3092,15.62225,31.7858,49.6361,-,0.998923,-,-,-,13.8629,950.8271,0.971981,4.300987,5.174992,12.58503,21.74646
Plate 1,mgh3_msc_14,Dual,14,K6,88,,Standard Curve Group 1,171.642,19.08976,8.402486,332.363,2.554202,73.83939,21.76535,64.83298,1.155743,9.368757,6.341556,3.788317,4.843416,-,1.655005,2.544857,2.395964,0.429941,1.660606,3.46974,0.151002,-,5.931402,-,-,-,20.3159,12.31559,179.4294,-,-,63.17447,468.8458,14.16732,28.56982,39.37851,-,0.962279,-,-,-,14.66623,909.4009,1.413517,3.937817,5.745615,9.494959,24.33785
Plate 1,mgh3_msc_16,Dual,16,K10,92,,Standard Curve Group 1,123.3651,14.52452,6.523173,334.3561,2.266961,-,11.6505,108.0218,1.179265,8.602257,4.561177,3.362761,4.922755,-,1.682077,1.237303,2.119177,-,1.317858,2.183482,0.404074,-,5.970222,-,-,-,19.37947,9.651894,156.229,18.7141,-,42.35561,407.3689,11.75809,28.82197,33.31329,-,0.858822,-,-,-,10.54507,875.1641,1.289938,3.033648,3.718512,9.70004,22.84642
Plate 1,mgh3_msc_16,Dual,16,K11,93,,Standard Curve Group 1,166.9657,14.6786,8.256098,330.0806,2.249998,-,15.78293,78.95794,-,7.715905,4.209479,4.325769,4.192647,-,2.010625,1.13874,1.930474,-,1.311041,3.170969,0.164001,-,5.931264,-,-,-,20.1229,10.21741,165.7501,-,-,54.83525,366.1707,12.04974,28.99547,34.08808,-,1.059911,-,-,-,10.44971,866.5214,1.048043,3.482541,4.877867,7.164147,23.35556
Plate 1,mgh3_msc_16,Dual,16,K12,94,,Standard Curve Group 1,131.4346,16.00275,6.011231,327.1762,2.101318,-,16.72178,44.78292,1.048936,8.064112,4.799354,2.927955,3.998605,-,1.378198,1.070775,1.819564,-,1.318799,1.556664,0.234696,-,-,-,-,-,18.91618,10.88705,180.6949,-,-,45.92676,371.9164,12.22919,29.06267,34.90363,-,0.523351,-,-,-,8.727739,794.5459,1.273047,2.988462,4.279548,7.219024,22.22463
Plate 1,mgh3_msc_19,Dual,19,L4,98,,Standard Curve Group 1,-,25.04865,3.719729,379.894,2.211141,57.78086,20.72451,152.8879,1.714608,6.215046,5.767379,1.922379,5.839959,-,2.209388,3.662846,1.45456,1.633966,2.352826,5.51449,0.79933,-,7.175653,9.811964,21.05013,-,20.90172,7.259366,119.3877,-,-,93.64187,558.0164,17.83142,35.47231,36.17664,-,0.370782,-,-,-,36.74428,1068.211,1.571013,3.383283,7.95507,17.77953,223.6367
Plate 1,mgh3_msc_19,Dual,19,L5,99,,Standard Curve Group 1,128.6289,19.46826,7.889229,348.4369,3.135484,-,29.46187,141.1397,1.580587,17.11695,7.13738,2.601638,6.463333,3.578589,2.741103,2.825249,2.88238,-,1.952077,9.979134,0.528439,-,9.811426,11.99765,-,-,17.94721,8.349405,188.2274,-,1.975191,98.52378,523.5799,17.59433,29.23431,69.59857,-,1.433477,-,-,-,10.08555,1037.554,1.381551,4.44393,8.062204,23.26888,40.91598
Plate 1,mgh3_msc_19,Dual,19,L6,100,,Standard Curve Group 1,116.4908,15.26689,8.409249,329.3716,2.624993,54.95912,19.02116,122.7071,-,9.589105,5.18475,12.07938,4.314799,5.976278,1.803827,1.867926,2.245681,-,1.499054,3.308844,0.369275,-,6.478652,-,-,-,20.233,11.48101,156.7978,-,-,57.64311,437.0415,12.30165,29.50633,41.7992,-,0.819855,-,-,-,11.08213,908.2366,1.270142,4.161086,4.870246,9.135249,23.56968
Plate 1,mgh3_msc_21,Dual,21,L10,104,,Standard Curve Group 1,165.4941,15.26952,4.767936,333.0464,2.005394,-,13.68447,64.73649,1.29085,6.404683,4.851029,2.558838,4.84491,-,1.544809,1.116481,1.96489,-,1.353956,1.536914,0.311611,-,5.486096,-,-,-,19.78784,10.74208,160.1981,-,-,46.58958,375.2813,11.61547,28.0376,35.9826,-,1.064079,-,-,-,10.55611,862.6918,1.064737,3.036265,4.579345,8.50767,21.49858
Plate 1,mgh3_msc_21,Dual,21,L11,105,,Standard Curve Group 1,-,15.07604,5.913305,334.6685,2.185318,-,14.49712,94.16556,1.33299,7.633813,4.593083,2.994608,4.302975,-,1.720884,0.960056,1.740908,-,1.456635,1.990755,0.285543,-,-,-,14.49322,-,18.17549,11.38682,173.7209,17.07163,-,50.59114,382.3089,12.1547,28.39743,35.61344,-,0.79295,-,-,-,9.678764,886.4449,1.142661,2.889114,1.705836,9.412953,19.30152
Plate 1,mgh3_msc_21,Dual,21,L12,106,,Standard Curve Group 1,-,2.294489,-,230.1898,0.692981,-,-,-,-,2.427052,-,2.112137,-,-,-,-,0.242826,-,-,-,0.161724,-,-,-,-,-,14.64387,-,-,-,-,-,-,-,21.51307,-,-,-,-,-,-,6.910954,-,-,-,4.586873,-,-
Plate 1,mgh3_msc_23,Dual,23,M4,110,,Standard Curve Group 1,211.1657,19.35047,10.09249,356.3767,2.559877,-,32.61825,81.4074,1.454861,9.433224,7.495395,2.541307,5.081112,2.844868,2.252855,3.337389,2.110144,0.618318,2.298468,3.994094,0.605847,-,8.559019,8.617447,-,-,20.66127,11.33582,263.7695,21.92641,-,73.80423,607.5947,13.84718,26.62999,44.64616,-,1.183869,-,-,-,12.8423,1024.314,1.219436,5.026967,5.183497,14.8125,23.13757
Plate 1,mgh3_msc_23,Dual,23,M5,111,,Standard Curve Group 1,-,14.46732,8.215118,345.7478,2.381756,-,22.7166,119.0661,0.85495,12.89938,6.034796,2.896077,2.964527,-,1.641124,1.758414,2.521412,-,1.909558,12.78098,0.486945,-,-,10.88085,14.4713,-,18.85944,11.04256,217.6847,23.08962,1.97578,45.78251,548.7422,14.94596,29.07754,30.65269,-,1.161427,-,-,-,6.084246,836.2403,1.451437,4.164331,8.157033,11.94086,17.06795
Plate 1,mgh3_msc_23,Dual,23,M6,112,,Standard Curve Group 1,237.07,19.56662,9.712907,403.3846,3.291339,-,35.25555,159.0455,1.574615,11.2288,8.361487,3.327743,6.897166,4.11628,3.482014,2.849009,2.214738,-,2.600116,4.680604,0.460451,-,7.908024,-,24.70179,-,21.28825,17.47249,229.5823,20.7061,2.264613,89.55356,678.8696,18.06394,31.3808,50.96255,-,1.029658,-,-,-,19.06788,1146.612,1.599183,5.087457,8.923077,13.97809,23.56781
Plate 1,mgh3_msc_26,Dual,26,M10,116,,Standard Curve Group 1,160.792,18.50943,8.73254,327.4952,2.033577,-,16.90984,140.7285,1.359857,8.261277,5.525233,2.813889,5.26329,2.809466,1.82963,4.325324,2.131631,-,1.523688,10.68256,0.36157,-,5.067749,-,-,-,19.29277,10.8488,172.975,-,-,63.95302,377.7928,12.14692,29.97565,32.05475,-,1.182688,-,-,-,11.48042,883.6971,1.196991,3.460985,4.898899,10.6394,24.07913
Plate 1,mgh3_msc_26,Dual,26,M11,117,,Standard Curve Group 1,159.5741,17.04528,7.450659,345.0625,2.128343,-,14.40543,273.3511,1.126933,7.360482,5.235594,2.637042,4.311706,2.867191,1.609597,4.847068,1.926736,-,1.701016,17.11135,-,-,-,-,-,-,18.27074,9.748434,147.3503,17.54721,-,62.33705,378.1901,12.36526,28.62305,35.03897,-,0.994782,-,-,-,11.24136,873.3696,1.219232,3.270461,5.729514,10.13618,26.66832
Plate 1,mgh3_msc_26,Dual,26,M12,118,,Standard Curve Group 1,110.7426,15.36818,-,294.6686,1.986655,-,12.74127,48.04582,-,6.481897,3.433045,4.160676,3.654181,-,1.240221,0.352339,1.583294,0.608552,1.025261,1.504915,0.185798,-,-,-,-,-,17.3051,11.61265,126.3164,17.01992,-,43.51468,349.2081,9.470987,27.67955,30.82263,-,0.505797,-,-,-,8.71445,739.2298,1.066682,2.715448,4.334735,7.789715,19.01676
Plate 1,mgh3_msc_28,Dual,28,N1,119,,Standard Curve Group 1,235.3892,27.03114,8.956271,355.8202,3.518955,-,31.84327,260.2168,1.382208,12.4839,8.654471,3.735668,6.877925,4.442967,2.96983,20.36689,3.017232,0.503038,2.539613,22.65597,0.409742,-,10.42039,-,20.94197,-,21.18399,18.64924,209.6369,24.01413,-,91.28627,603.0286,15.9567,30.82552,49.9107,-,1.849754,-,-,-,14.08714,1040.756,1.447731,5.338973,9.336329,11.97088,25.72477
Plate 1,mgh3_msc_28,Dual,28,N5,123,,Standard Curve Group 1,143.2873,21.99485,9.155941,361.9576,2.44394,-,26.15098,269.9668,1.350841,9.338713,5.942606,3.508435,6.244338,2.826871,2.336656,6.561955,2.536918,0.46393,2.270173,15.11272,0.34041,-,8.659558,-,12.88877,-,18.00559,13.3092,201.8114,21.04925,-,90.56583,526.308,15.02565,29.0146,46.1826,-,1.335236,-,-,-,13.64194,1004.307,1.492667,3.966582,4.719686,11.68846,20.78217
Plate 1,mgh3_msc_28,Dual,28,N6,124,,Standard Curve Group 1,131.2409,20.87773,9.427441,330.1452,2.539677,-,19.54922,228.6417,0.913996,11.42452,5.663893,2.395631,6.476059,3.427955,2.387676,4.312128,2.504034,-,1.827327,16.35916,0.299799,-,7.009962,-,-,-,19.3599,12.58543,193.7849,21.02547,-,77.23169,489.9369,15.02596,29.53349,46.59106,-,0.989427,-,-,-,14.94551,1024.224,1.285659,4.723565,5.377287,10.60837,24.84366
Plate 1,mgh3_msc_30,Dual,30,N7,125,,Standard Curve Group 1,151.7328,22.4268,9.061754,343.0533,2.481977,-,20.00533,179.0479,1.433758,9.401901,5.601517,4.961889,5.780023,4.099219,2.048866,7.89429,2.817232,0.587788,1.759187,20.6995,0.395047,-,5.379382,-,-,-,18.61936,12.31773,166.6207,-,-,75.09338,465.8196,15.20816,30.04778,45.35243,-,1.309632,-,-,-,14.51486,988.2065,1.470966,4.277672,7.685371,11.0103,24.88065
Plate 1,mgh3_msc_30,Dual,30,N11,129,,Standard Curve Group 1,147.079,19.15326,9.113705,390.973,2.38847,-,19.28661,255.6353,1.443464,8.158091,5.716236,2.803892,4.775807,3.352082,2.324417,5.807957,2.550822,-,1.378263,19.88013,0.2676,-,6.442155,-,-,-,20.00933,14.46756,172.6172,21.54576,-,75.97756,436.2955,14.45565,27.41553,39.83635,-,1.116179,-,-,-,13.21383,889.25,1.303752,3.807541,5.251514,9.071214,30.20802
Plate 1,mgh3_msc_30,Dual,30,N12,130,,Standard Curve Group 1,169.836,16.30077,7.470359,316.0468,2.220818,-,13.44658,137.2292,1.109899,10.12827,4.616681,2.737434,5.099117,3.246978,1.324506,2.937164,1.874786,-,1.622226,8.812611,-,-,4.925623,-,-,-,18.03418,12.73757,162.0023,18.20799,-,59.37028,366.1773,10.96774,27.60137,36.67518,-,0.93964,-,-,-,11.38684,891.2781,1.217341,2.999389,4.366763,6.973391,23.28253
